category,pattern,note
ask_ai,"(?:asked|ask|asking|prompted|prompt)\W+(?:chat\W?gpt|gpt-?\d\w*|claude|gemini|grok|deepseek|copilot|an?\s+ai|the\s+ai|an?\s+llm)","asking an AI a question"
ask_ai,"(?:chat\W?gpt|gpt-?\d\w*|claude|gemini|grok|deepseek)\W+(?:\w+\W+){0,4}(?:says?|said|told\s+me|thinks?|reckons?|recommend\w*|pick(?:s|ed)?|call(?:s|ed)?)","AI as the source of a view"
ask_ai,"(?:chat\W?gpt|gpt-?\d\w*|claude|gemini|grok|deepseek)\W+(?:\w+\W+){0,6}(?:price\s+target|stock\s*pick|portfolio|watch\s?list|due\s+diligence|dd\b)","AI producing picks/targets/DD"
ask_ai,"(?:what|which)\W+(?:\w+\W+){0,3}(?:chat\W?gpt|claude|gemini|grok|deepseek)\W+(?:\w+\W+){0,4}(?:buy|sell|stocks?|invest)","asking AI what to buy"
auto_trade,"(?:my|the|an?)\W+(?:ai|gpt|chat\W?gpt|claude|gemini|grok|llm)\W+(?:\w+\W+){0,3}(?:agent|bot)\W+(?:\w+\W+){0,4}(?:bought|buys?|sold|sells?|trade[sd]?|trading|execut\w+)","an AI agent executing"
auto_trade,"(?:auto|algo)\W?-?trad\w+\W+(?:\w+\W+){0,4}(?:ai|gpt|chat\W?gpt|claude|gemini|grok|llm)","auto-trading with an AI"
auto_trade,"(?:ai|gpt|llm)\W+(?:\w+\W+){0,2}(?:manag\w+|runs?|running)\W+(?:\w+\W+){0,3}(?:portfolio|account|money|positions?)","AI managing the money"
auto_trade,"let\W+(?:chat\W?gpt|claude|gemini|grok|an?\s+ai)\W+(?:\w+\W+){0,4}(?:trade|invest|manage)","handing the wheel to the AI"
build_bot,"(?:built?|building|coding|coded|wrote|writing|made|making)\W+(?:\w+\W+){0,4}(?:trading\s+bot|trading\s+algo\w*|ai\s+trader|gpt\s+trader|llm\s+strateg\w+)","building an AI trading system"
build_bot,"(?:backtest\w*|paper\s?trad\w*)\W+(?:\w+\W+){0,5}(?:gpt|chat\W?gpt|claude|gemini|llm|ai\s+model)","backtesting an AI strategy"
build_bot,"(?:gpt|chat\W?gpt|claude|gemini|llm)\W+(?:\w+\W+){0,4}(?:trading\s+strateg\w+|trading\s+system|signal\s+bot)","AI-written strategy"
skeptic,"(?:chat\W?gpt|gpt-?\d\w*|claude|gemini|grok|an?\s+ai)\W+(?:\w+\W+){0,6}(?:hallucinat\w+|wrong|terrible|awful|scam|dumb|lost\s+me|blew\s+up|rekt)","mocking AI trading"
skeptic,"(?:stop|quit|don.?t)\W+(?:\w+\W+){0,3}(?:asking|using|trusting)\W+(?:chat\W?gpt|claude|gemini|grok|ai)\W+(?:\w+\W+){0,4}(?:stock|trade|invest|financial)","warning others off AI trading"
