symbol,bloomberg,tiingo,name,note
159915 CS,159915 CS Equity,,E Fund ChiNext ETF,approved 2026-07
1622 JT,1622 JT Equity,,,approved anchor/fallback
588000 CH,588000 CH Equity,,ChinaAMC SSE STAR 50 ETF,"approved 2026-07 (Huatai-PineBridge is 588090, not this one)"
ARKK,ARKK US Equity,,,approved anchor/fallback
ASHR,ASHR US Equity,,,approved anchor/fallback
BBH,BBH UQ Equity,,VanEck Biotech ETF,approved 2026-07
CIBR,CIBR US Equity,,,approved anchor/fallback
COPX,COPX US Equity,,,approved anchor/fallback
CQQQ,CQQQ US Equity,,,approved anchor/fallback
CSIN0852,CSIN0852 Index,000852.SS,CSI 1000 Index (index code 000852),"approved 2026-07; an INDEX, not a tradable fund - priced for reference only"
DTCR,DTCR US Equity,,Global X Data Center & Digital Infrastructure ETF,renamed from VPN in late 2024
EUAD,EUAD US Equity,,Select STOXX Europe Aerospace & Defense ETF,europe_defense anchor - confirm approval
FXI,FXI US Equity,,,approved anchor/fallback
GDX,GDX US Equity,,,approved anchor/fallback
GLD,GLD US Equity,,,approved anchor/fallback
HYG,HYG US Equity,,,approved anchor/fallback
IGV,IGV US Equity,,,approved anchor/fallback
ITA,ITA US Equity,,,approved anchor/fallback
ITB,ITB US Equity,,,approved anchor/fallback
IVE,IVE UP Equity,,iShares S&P 500 Value ETF,approved 2026-07
IVW,IVW UP Equity,,iShares S&P 500 Growth ETF,approved 2026-07
IYT,IYT US Equity,,,approved anchor/fallback
IYW,IYW US Equity,,,approved anchor/fallback
JETS,JETS US Equity,,,approved anchor/fallback
KBE,KBE US Equity,,,approved anchor/fallback
KRE,KRE UP Equity,,SPDR S&P Regional Banking ETF,approved 2026-07
KWEB,KWEB US Equity,,,approved anchor/fallback
LIT,LIT US Equity,,,approved anchor/fallback
LQD,LQD US Equity,,,approved anchor/fallback
MOO,MOO UP Equity,,VanEck Agribusiness ETF,approved 2026-07
MTUM,MTUM US Equity,,iShares MSCI USA Momentum Factor ETF,"MTUM TF Equity returned no data on the Terminal; the composite US ticker resolves"
OIH,OIH US Equity,,,approved anchor/fallback
QQQ,QQQ US Equity,,,approved anchor/fallback
RSP,RSP US Equity,,Invesco S&P 500 Equal Weight ETF,approved 2026-07
SIL,SIL US Equity,,,approved anchor/fallback
SLV,SLV US Equity,,,approved anchor/fallback
SMH,SMH US Equity,,,approved anchor/fallback
SOCL,SOCL US Equity,,,approved anchor/fallback
SOXX,SOXX US Equity,,,approved anchor/fallback
TIP,TIP US Equity,,,approved anchor/fallback
TLT,TLT US Equity,,,approved anchor/fallback
UNG,UNG US Equity,,,approved anchor/fallback
URA,URA US Equity,,,approved anchor/fallback
USO,USO US Equity,,,approved anchor/fallback
VTV,VTV UP Equity,,Vanguard Value ETF,approved 2026-07
VUG,VUG UP Equity,,Vanguard Growth ETF,approved 2026-07
XBI,XBI US Equity,,,approved anchor/fallback
XLB,XLB US Equity,,,approved anchor/fallback
XLC,XLC US Equity,,,approved anchor/fallback
XLE,XLE US Equity,,,approved anchor/fallback
XLF,XLF US Equity,,,approved anchor/fallback
XLI,XLI US Equity,,,approved anchor/fallback
XLK,XLK US Equity,,,approved anchor/fallback
XLP,XLP US Equity,,,approved anchor/fallback
XLRE,XLRE US Equity,,,approved anchor/fallback
XLU,XLU US Equity,,,approved anchor/fallback
XLV,XLV US Equity,,,approved anchor/fallback
XLY,XLY US Equity,,,approved anchor/fallback
XOP,XOP US Equity,,,approved anchor/fallback
XRT,XRT UP Equity,,SPDR S&P Retail ETF,approved 2026-07
