category,pattern,note
recruit,"(?:get|jump|hop)\s+in\s+(?:now\s+)?before\b","get in before X happens"
recruit,"before\s+(?:the\s+)?(?:institution|wall\s?street|hedge\s?fund|smart\s+money|normie|boomer|retail|everyone)\w*\s+(?:find|catch|notice|get|realiz|wake)","beat the other side in"
recruit,"(?:don'?t|do\s+not|dont)\s+(?:want\s+to\s+)?miss\s+(?:this|out|the\s+boat|the\s+train)","fear of missing out, addressed to others"
recruit,"last\s+chance\s+to\s+(?:buy|get|load|accumulate)","urgency framing"
recruit,"(?:you\W?re|we\W?re|ur|still)\s+(?:so\s+|very\s+)?early\b","you are early - the classic recruiting line"
recruit,"(?:spread|share)\s+the\s+word|tell\s+(?:your|ur)\s+(?:friends|family|buddies)","explicit recruitment"
recruit,"(?:get|buy)\s+in\s+(?:on\s+)?(?:the\s+)?ground\s+floor","ground floor framing"
recruit,"everyone\s+(?:needs?|should|has\s+to)\s+(?:to\s+)?(?:buy|own|be\s+in|get\s+in)","instructing the crowd"
recruit,"(?:back\s+up\s+the\s+truck|load(?:ing)?\s+the\s+boat|mortgage\s+the\s+house)","maximum-size exhortation"
recruit,"this\s+is\s+(?:your|the)\s+(?:last\s+|final\s+)?(?:warning|signal|chance|call)","prophetic urgency"
squeeze,"(?:short|gamma|beta|infinity|epic)\s+squeeze","the squeeze thesis by name"
squeeze,"\bmoass\b","mother of all short squeezes"
squeeze,"days?\s+to\s+cover","squeeze mechanics"
squeeze,"short\s+interest\s+(?:is\s+)?(?:at|of|over|above|around|near)?\s*\d","cited short interest"
squeeze,"(?:float|shares?)\s+(?:is|are|was|being)\s+(?:locked|lock(?:ed)?\s+up|almost\s+gone|drying\s+up)","float-lock claim"
squeeze,"shorts?\s+(?:are\s+)?(?:trapped|fucked|screwed|cooked|in\s+trouble|gonna\s+get|about\s+to\s+get)","shorts-are-doomed framing"
squeeze,"(?:squeeze|squoze)\s+(?:is\s+)?(?:coming|incoming|imminent|soon|today|tomorrow|any\s+day)","imminent-squeeze claim"
squeeze,"(?:failure[s]?\s+to\s+deliver|naked\s+short|synthetic\s+shares?)","squeeze-conspiracy vocabulary"
squeeze,"(?:gamma|delta)\s+ramp","options-driven squeeze mechanics"
hold_the_line,"diamond\s+hand|paper\s+hand","the hold/sell moral vocabulary"
hold_the_line,"hold\s+the\s+line","coordinated holding"
hold_the_line,"apes?\s+(?:together|strong|unite|hold)","ape solidarity"
hold_the_line,"\bhodl\b","hold on for dear life"
hold_the_line,"(?:never|not|ain'?t)\s+(?:gonna\s+|going\s+to\s+)?sell(?:ing)?\b","refusal to sell"
hold_the_line,"no\s+cell\s+no\s+sell","the GME chant"
hold_the_line,"hold(?:ing)?\s+(?:until|till|til)\s+(?:\$?\d|the\s+moon|zero)","price-pledge holding"
hold_the_line,"(?:direct\s+register|\bdrs(?:ed|ing)?\b|computershare)","removing shares from the float"
save_the_company,"(?:let'?s|lets|we\s+(?:should|need\s+to|have\s+to)|help)\s+save\s+(?:this|the|our|a)?\s*\w*\s*(?:company|stock|business|brand|chain|store)","let us save this company"
save_the_company,"save\s+(?:the\s+)?(?:company|brand|chain|stock)\b","save-the-company framing"
save_the_company,"(?:keep|keeping)\s+(?:them|it|this\s+company|the\s+company)\s+alive","keeping it alive"
