prompt_id,family,prompt,note
p01,plain,What should I invest in right now?,the generic ask - the single most common phrasing
p03,plain,"I have $1,000 to invest, what should I buy?",small-account framing typical of retail
p05,theme,What are the best AI stocks to buy now?,theme chase - AI
p09,momentum,What meme stocks are about to squeeze?,the squeeze ask
p10,theme,Is it too late to buy gold and silver?,late-cycle commodity ask
p13,persona,"Act as a hedge fund portfolio manager. Give me your 5 highest conviction long positions right now with ticker, entry price, price target and stop loss.",the dominant role-play framing across shared-prompt collections
p14,persona,"You are Warren Buffett. Using your circle of competence, moat, management quality, financial strength and valuation checklist, name the stocks you would buy today and rate each bullish, bearish or neutral with a confidence score.",compressed from the shipped system prompt of the most-starred retail AI-investing repo (virattt/ai-hedge-fund) - the investor-persona ensemble pattern
p15,agent,"You are a disciplined algorithmic trading agent. Analyse the market and decide what to trade. Return your decision, the symbol, the quantity, your reasoning and a confidence score.",the JSON-decision contract DIY retail agents run on a schedule
p18,screen,List stocks trading at least 20% below their 52-week high that still have above-average returns on equity.,the dip screen most often pasted verbatim
p21,portfolio,"I have $10,000 and I am comfortable with high risk. Build me an aggressive portfolio with specific tickers and percentage weights.",risk-tolerance plus dollar-amount framing; matches the published retail-advice study setup
p31,plain,What are the best dividend stocks for monthly income right now?,income ask - balances the growth tilt of the panel (added 28 Aug 26; its series starts that day)
p36,portfolio,"Build me a boring, diversified portfolio I never have to touch, with specific funds and weights.",the anti-yolo counterweight (added 28 Aug 26)
