theme,etf,fallbacks,show_on_dashboard,note
semiconductors,SMH,SMH|SOXX,yes,
memory,SMH,SMH|SOXX,yes,"SMH is the whole semi complex, not memory alone - MU and the HBM names are inside it but so is NVDA. Accepted: no approved memory-only line exists, and the theme moves with the complex."
ai,IYW,IYW|QQQ|XLK,yes,"IYW is BROAD US tech, not AI-specific - natural ETF is AIQ (not approved). Strictness/triggering studied in the research record (nb06_strictness.json)."
datacenters,DTCR,DTCR|IYW,yes,VPN was renamed/re-tickered to DTCR (Global X Data Center & Digital Infrastructure) in late 2024.
ai_megacap,QQQ,QQQ|XLK,yes,
gold_metals,GLD,GLD|GDX|SLV|SIL|COPX,yes,
energy,XLE,XLE|XOP|OIH|USO|UNG,yes,
ev_clean_energy,LIT,LIT|XLY,yes,
uranium_nuclear,URA,URA,yes,
defense_aerospace,ITA,ITA|XLI,yes,
europe_defense,EUAD,EUAD|ITA,yes,European A&D (Select STOXX). ITA is a US proxy (wrong region) and stays only as a fallback.
short_squeeze,ARKK,ARKK,yes,"PROXY, weak by construction: no squeeze ETF exists. ARKK is the closest approved high-beta speculative basket, so it tracks the RISK APPETITE these names ride, not the names themselves. Read this theme's price panel as a regime indicator, not a tradeable line."
meme_stocks,ARKK,ARKK,no,"PROXY, same caveat as short_squeeze: ARKK holds none of the meme names. It is the approved stand-in for speculative appetite. GME/AMC are tracked as single names in the store."
biotech_pharma,XBI,XBI|XLV|BBH,yes,
rates_bonds,,,yes,"Not in the tradeable universe (no anchor) - still tracked in the data; fill the etf cell (e.g. TLT, if approved) to enable."
real_estate,,,yes,"Not in the tradeable universe (no anchor) - still tracked in the data; fill the etf cell to enable."
cloud_saas,IGV,IGV|IYW,yes,
china_geopolitics,FXI,FXI|ASHR|KWEB|CQQQ|159915 CS|588000 CH,yes,"Not KWEB: KWEB is the China INTERNET basket - a sector bet on Alibaba/Tencent/Meituan. Geopolitics (tariffs, export controls, Taiwan) moves BROAD China beta, so FXI (China large-cap) is the right anchor and ASHR (CSI 300 A-shares) the first fallback. KWEB stays in the chain as the third line."
financials,XLF,XLF|KBE|KRE,yes,
consumer_retail,XRT,XRT|XLY,yes,"XRT is retail-specific; broad discretionary XLY is the fallback."
cybersecurity,CIBR,CIBR,yes,
fintech_payments,XLF,XLF|IGV,yes,"XLF holds V, MA and PYPL since the 2023 GICS change moved them into Financials, so it is not a banks-only proxy."
gaming_esports,SOCL,SOCL|IYW,yes,natural ETF is ESPO (SOCL is social media) - swap here if ESPO gets approved.
travel_airlines,JETS,JETS,yes,
housing_builders,ITB,ITB|XLB,yes,
robotics_automation,XLI,XLI|IYW|ARKK,yes,PROXY: XLI is broad industrials. BOTZ/ROBO are the natural lines (not approved).
space,ITA,ITA,yes,"PROXY: ITA is US Aerospace & DEFENSE - the pure-play space names (RKLB, ASTS, LUNR) are not meaningful holdings. ARKX is the natural line if it is ever approved. RKLB and ASTS are tracked as single names in the store."
quantum_computing,IYW,IYW|QQQ,yes,IYW is a broad-tech proxy; QTUM is the natural line (not approved).
weight_loss_glp1,XLV,XLV|XBI,yes,PROXY: XLV is broad healthcare. LLY is a top-5 holding so the theme is partly represented; NVO is not (non-US). No GLP-1 line is approved.
solar,LIT,LIT|XLU,yes,"natural ETF is TAN (LIT is lithium/battery, holds no solar names) - swap here if TAN gets approved."
agriculture_food,MOO,MOO|XLP|XLB,yes,MOO is the agribusiness line; staples XLP is the fallback proxy.
shipping_logistics,IYT,IYT,yes,
utilities_power,XLU,XLU,yes,
media_streaming,XLC,XLC|SOCL,yes,
infrastructure,XLI,XLI|XLB,yes,
japan,1622 JT,1622 JT,no,"DELIBERATELY narrow: 1622 JT is TOPIX-17 Autos & Transport Equip, the approved Japan line - not broad Japan (EWJ/1306 JT would be)."
crypto,,,yes,"tracked, no approved instrument - fill etf to enable (e.g. IBIT if approved)"
cannabis,,,yes,"tracked, no approved instrument"
small_caps,,,yes,"tracked, no approved instrument"
