symbol,reason
MU,"Micron. 265 bare ALL-CAPS mentions in six days of comments against SIX $MU cashtags - a ~44x undercount. Two letters, so WORD_BARE ([A-Z]{4,5}) never saw it. This is the name behind the June-2026 memory GET OUT, and it was almost invisible to the counts."
AMD,"Advanced Micro Devices. 58 bare CAPS, 0 cashtags in the same six days."
IBM,"48 bare CAPS, 0 cashtags. Unambiguous in a finance forum."
TSM,"Taiwan Semiconductor. The semis conversation names it constantly and almost never with a $."
NIO,"Chinese EV maker. No English-word collision."
PDD,"PDD Holdings. No collision."
XOM,"Exxon. No collision."
CVX,"Chevron. No collision."
UNH,"UnitedHealth. No collision."
LLY,"Eli Lilly - the GLP-1 conversation's main name. No collision."
PFE,"Pfizer. No collision."
JPM,"JPMorgan. No collision."
BAC,"Bank of America. No collision."
WMT,"Walmart. No collision."
PEP,"PepsiCo. 16 bare CAPS. No collision."
UPS,"United Parcel. Ambiguous only with the plural of 'up', which is not written in caps."
FDX,"FedEx. No collision."
MMM,"3M. No collision."
VZ,"Verizon. 18 bare CAPS. No collision."
DIS,"Disney. Short for 'disrespect' in slang but that is written lower case."
QQQ,"The Nasdaq-100 ETF. 109 bare CAPS against 2 cashtags."
SPY,"The S&P 500 ETF. Also the English word, but 'spy' is written lower case; the CAPS form in a finance forum is the ETF."
DIA,"Dow ETF. No collision."
IWM,"Russell 2000 ETF. No collision."
SMH,"The semiconductor ETF. Also the 'shaking my head' abbreviation - INCLUDED anyway because this project's themes are anchored on it and the two readings are separable by context downstream; revisit if it looks noisy."
GLD,"Gold ETF. Distinct from the word 'gold', which is why GOLD (Barrick) stays suppressed and GLD does not."
SLV,"Silver ETF. No collision."
TLT,"Long treasuries ETF. No collision."
XLE,"Energy sector ETF. No collision."
XLF,"Financials sector ETF. No collision."
URA,"Uranium ETF. No collision."
META,"Meta Platforms. 47 bare CAPS against 34 lower-case 'meta' in six days - the CAPS form is the company. The word-frequency screen classified it cashtag-only because 'meta' is a common English word; that is right for lower case and wrong for upper."
SOFI,"SoFi. 92% of its occurrences are CAPS (22 vs 2) - the clearest case on the board."
HOOD,"Robinhood. 8 CAPS vs 14 'hood'. The CAPS form is the broker, and HOOD carried a GET OUT flag on 15 Jul 2026 while being under-counted."
COIN,"Coinbase. Only 2 CAPS against 146 'coin' - but those 2 are the company, and case-sensitive matching is what separates them."
UBER,"Uber. 4 CAPS vs 13 'uber'."
LYFT,"Lyft. No real English collision; it was screened out on spelling similarity."
SHOP,"Shopify. 5 CAPS vs 50 'shop'."
SNOW,"Snowflake. Rare, but CAPS SNOW in a finance forum is the company."
ETSY,"Etsy. No English collision."
DASH,"DoorDash. 2 CAPS vs 17 'dash'."
VOO,"Vanguard S&P 500 ETF. 104 bare ALL-CAPS mentions against ZERO $VOO cashtags in 176k comments (2025-07 to 2026-07), lowercase 'voo' 20 - a 5:1 caps ratio and no cashtag route at all, so it was counted essentially never. Three letters, invisible to WORD_BARE. One of the most-discussed instruments on retail forums."
VTI,"Vanguard Total Stock Market ETF. 23 bare CAPS, 0 cashtags, 2 lowercase in the same 176k comments. Same three-letter blind spot as VOO; no English-word collision."
KO,"Coca-Cola. 48 bare CAPS, 12 $KO cashtags, only 4 lowercase in 176k comments (12:1). Every sampled hit was the company - ""KO buying the dip"", ""Coke (KO)"". Two letters, so the bare-word pass never saw it. The ONLY 1-2 letter symbol of 80 mapped ones that survived measurement."
